Aktiengesellschaft,Kurs [€],Marktkapitalisierung [Mio. €]
SAP,27695.0,"300.570,80"
Siemens,22520.0,"166.837,16"
Deutsche Telekom,3362.0,"157.990,93"
Airbus,16852.0,"125.741,64"
Allianz,32220.0,"117.158,76"
Münchener Rückversicherungs-Gesellschaft,51960.0,"65.287,86"
Siemens Healthineers,5730.0,"60.536,27"
Merck,13605.0,"55.833,10"
Mercedes-Benz Group (ex Daimler),6132.0,"55.732,86"
Porsche,5694.0,"48.764,53"
Volkswagen (VW) vz.,10020.0,"48.570,64"
BMW,8296.0,"48.386,54"
Infineon,3755.0,"46.046,75"
Siemens Energy,6154.0,"45.900,54"
adidas,25880.0,"43.616,20"
BASF,5092.0,"42.961,70"
Deutsche Börse,24470.0,"42.363,18"
DHL Group (ex Deutsche Post),3662.0,"40.399,77"
Deutsche Bank,1925.0,"34.469,62"
Rheinmetall,81700.0,"33.482,59"
Daimler Truck,4267.0,"31.273,29"
Henkel vz.,8534.0,"31.131,70"
Hannover Rück,25040.0,"28.499,93"
E.ON,1153.0,"28.410,82"
Beiersdorf,12575.0,"26.601,56"
Heidelberg Materials,14630.0,"25.012,88"
Vonovia,2955.0,"22.951,21"
Commerzbank,1959.0,"21.905,75"
RWE,2855.0,"20.045,32"
Bayer,2138.0,"19.821,24"
Fresenius,3726.0,"19.808,87"
MTU Aero Engines,33400.0,"16.951,97"
Sartorius vz.,24680.0,"14.487,05"
Symrise,9982.0,"13.169,29"
Continental,6954.0,"13.128,14"
Fresenius Medical Care (FMC) St.,4455.0,"12.338,19"
Porsche Automobil vz.,3809.0,"11.010,69"
Zalando,3929.0,"9.668,46"
Brenntag,6426.0,"8.757,67"
QIAGEN,3800.0,"7.807,90"
