,year,month,close,open,high,low,daily_trend,monthly_trend,sma_5_day,sma_20_day,sma_50_day,sma_200_day,close_max,open_max,high_max,low_max,daily_trend_max_x,close_min,open_min,high_min,low_min,daily_trend_max_y
0,2021,11,20.92,20.85,21.25,20.34,-0.73,-17.66,20.91,23.32,24.36,23.95,21.07,21.19,21.4,20.56,0.19,20.65,20.41,21.09,20.11,-1.99
1,2021,12,18.86,18.87,19.31,18.43,-0.53,-18.6,19.08,20.25,22.74,23.52,19.82,20.53,20.89,19.29,5.23,17.96,18.0,18.6,17.81,-6.15
2,2022,1,15.23,15.41,15.82,14.82,-1.35,-19.47,15.77,17.37,19.68,22.82,18.53,18.61,18.84,17.86,7.87,12.28,12.3,12.88,11.75,-7.46
3,2022,2,12.62,12.6,13.11,12.2,-0.57,-20.34,12.78,13.6,16.28,21.92,14.2,14.23,14.37,13.66,13.42,10.43,9.75,11.19,9.74,-15.75
4,2022,3,12.28,12.22,12.62,11.89,0.73,-1.56,12.08,11.96,13.45,20.92,14.2,14.04,14.36,13.74,9.47,10.5,10.47,10.85,10.27,-7.81
5,2022,4,12.43,12.57,12.89,12.16,-1.31,3.69,12.75,12.95,12.49,19.66,14.63,14.61,14.86,14.02,6.26,10.4,10.69,11.05,10.36,-8.18
6,2022,5,8.53,8.51,8.82,8.19,-0.58,-32.47,8.73,10.2,11.64,18.37,10.98,10.8,11.01,10.44,13.62,6.71,6.55,7.38,6.44,-21.31
7,2022,6,8.81,8.76,9.07,8.53,0.33,3.89,8.75,8.46,9.95,16.73,10.19,10.15,10.2,9.51,9.93,7.64,7.7,7.98,7.5,-7.51
8,2022,7,9.71,9.64,9.94,9.4,0.75,11.18,9.62,9.31,8.89,15.0,10.49,10.37,10.76,10.22,8.63,8.9,9.01,9.12,8.65,-6.2
9,2022,8,9.3,9.32,9.56,9.1,-1.17,-3.47,9.51,9.84,9.43,13.39,11.45,11.19,11.62,11.04,5.2,7.72,7.82,7.97,7.68,-14.24
10,2022,9,7.67,7.62,7.83,7.47,0.29,-16.33,7.64,7.99,9.06,11.75,8.13,8.05,8.5,7.97,4.98,7.28,7.2,7.42,7.13,-6.62
11,2022,10,8.26,8.2,8.42,8.02,0.41,8.05,8.19,7.99,8.26,10.6,8.79,8.68,9.05,8.46,5.44,7.53,7.71,8.06,7.53,-6.81
12,2022,11,7.64,7.71,7.88,7.45,-0.64,-6.92,7.77,8.03,7.96,9.82,8.65,8.99,9.06,8.56,10.08,6.98,7.08,7.18,6.89,-11.48
13,2022,12,6.84,6.86,7.02,6.69,-0.68,-10.96,6.94,7.26,7.74,9.27,7.86,7.73,7.97,7.5,5.44,6.0,5.98,6.17,5.92,-7.97
14,2023,1,6.96,6.89,7.09,6.74,1.01,1.52,6.83,6.66,7.13,8.69,7.78,7.5,7.82,7.38,5.56,6.32,6.4,6.45,6.09,-4.88
15,2023,2,8.46,8.44,8.75,8.21,0.25,24.61,8.41,7.82,7.2,8.24,10.11,9.65,10.31,9.6,21.16,7.51,7.58,7.78,7.45,-7.93
16,2023,3,8.06,8.04,8.26,7.89,0.37,-2.43,8.03,8.19,7.77,8.17,8.45,8.44,8.62,8.2,7.07,7.35,7.29,7.68,7.19,-5.41
17,2023,4,8.26,8.31,8.47,8.12,-0.42,2.89,8.32,8.24,8.23,8.12,8.81,8.93,9.04,8.78,3.71,7.74,7.77,7.91,7.62,-4.44
18,2023,5,10.44,10.25,10.7,10.0,3.13,27.03,9.84,8.76,8.41,8.02,14.71,14.44,15.01,14.24,23.39,7.38,7.44,7.52,7.28,-3.85
19,2023,6,15.14,15.13,15.7,14.7,0.25,55.04,15.06,13.76,10.73,8.47,16.6,16.87,17.16,16.01,4.96,13.94,13.64,14.14,13.56,-7.28
20,2023,7,16.72,16.65,17.14,16.23,1.39,10.79,16.43,15.75,13.8,9.29,19.84,18.82,20.0,18.38,11.4,15.13,15.23,15.38,14.62,-5.1
21,2023,8,15.94,16.02,16.45,15.47,-1.11,-3.83,16.17,16.8,16.08,10.23,19.99,19.46,20.24,19.23,6.04,14.14,13.88,14.6,13.68,-10.5
22,2023,9,15.12,15.06,15.45,14.81,0.37,-3.35,15.12,15.14,16.07,11.03,16.0,16.11,16.81,15.96,6.38,13.96,13.95,14.17,13.68,-5.02
23,2023,10,16.43,16.48,16.89,16.04,-0.3,8.41,16.48,15.94,15.65,11.97,17.94,18.06,18.44,17.73,6.02,14.69,14.58,15.01,14.55,-6.31
24,2023,11,19.24,19.16,19.63,18.73,1.58,16.97,18.77,17.62,16.49,13.1,21.34,21.11,21.85,20.56,20.44,14.92,14.8,14.96,14.48,-7.22
25,2023,12,17.83,17.98,18.25,17.59,-0.73,-4.94,18.07,18.84,17.91,14.18,20.27,19.93,20.29,19.55,3.19,17.13,17.18,17.48,17.05,-9.23
26,2024,1,16.6,16.64,16.95,16.36,-0.28,-7.83,16.69,17.03,18.02,15.1,17.6,17.64,18.35,17.43,4.89,15.98,15.7,16.13,15.66,-3.88
27,2024,2,22.94,22.61,23.39,22.14,2.48,37.83,22.13,19.47,18.23,16.24,25.41,25.04,25.52,24.71,30.8,16.33,16.21,16.49,16.03,-4.26
28,2024,3,24.62,24.85,25.28,24.2,-0.38,14.59,24.68,24.43,20.91,17.64,26.46,27.19,27.5,26.38,9.87,23.01,23.5,23.83,22.92,-6.12
29,2024,4,22.15,22.2,22.61,21.74,-0.19,-10.0,22.31,23.24,23.37,18.52,23.0,23.82,24.1,22.67,3.73,20.47,20.72,21.08,20.33,-3.77
30,2024,5,21.66,21.68,22.03,21.31,0.03,-2.15,21.74,21.9,22.87,19.1,25.21,24.37,25.35,24.03,8.06,20.6,20.6,20.99,20.5,-15.11
31,2024,6,23.93,23.67,24.33,23.3,0.87,10.61,23.56,22.38,22.17,19.76,25.82,26.44,26.57,25.16,6.15,21.32,21.05,21.79,21.0,-6.73
32,2024,7,27.49,27.47,28.09,26.9,0.31,16.81,27.32,26.13,23.81,20.88,28.81,28.93,29.83,28.31,5.34,25.83,25.48,26.02,25.14,-7.67
33,2024,8,29.85,29.68,30.48,29.11,0.79,8.52,29.47,28.28,26.6,22.17,32.54,32.55,33.12,31.97,11.25,24.09,21.74,24.42,21.23,-5.14
34,2024,9,35.13,34.89,35.58,34.31,0.89,18.46,34.53,32.64,29.88,23.62,37.95,37.97,38.19,36.6,14.08,30.16,30.0,30.74,29.31,-3.08
35,2024,10,42.1,41.91,42.7,41.21,0.52,21.13,41.56,39.28,34.82,25.9,44.97,45.05,45.14,44.68,6.58,36.46,36.3,37.56,36.05,-4.88
36,2024,11,59.28,58.63,60.34,57.23,2.59,39.67,56.97,49.94,42.84,29.36,67.08,66.9,67.88,65.47,23.47,41.41,41.08,42.04,41.03,-6.86
37,2024,12,74.95,74.74,77.08,72.44,0.64,33.17,73.89,68.56,55.9,34.03,82.38,83.16,84.8,81.3,8.54,66.39,66.41,67.88,65.96,-5.08
38,2025,1,74.18,73.65,75.68,72.05,0.5,-0.1,73.79,74.67,68.56,39.2,82.49,81.0,85.22,80.87,6.35,64.98,64.29,65.68,63.4,-7.81
39,2025,2,104.03,103.92,107.51,99.97,0.41,43.49,103.54,91.49,80.89,45.98,124.62,123.86,125.41,118.43,23.99,83.74,79.98,84.25,78.47,-10.53
40,2025,3,86.13,86.05,88.87,83.02,0.11,-13.49,86.07,92.09,88.14,53.0,96.75,97.22,98.17,95.08,8.31,76.38,75.79,80.75,74.57,-10.73
41,2025,4,94.61,92.67,97.09,90.01,1.8,9.76,91.79,88.21,91.92,59.77,118.44,113.98,118.78,113.24,19.0,74.01,66.65,80.98,66.12,-11.47
42,2025,5,122.56,121.98,125.12,119.44,0.61,33.35,121.6,112.47,97.68,68.65,131.78,129.23,133.49,127.56,8.14,108.86,107.97,111.85,105.32,-12.05
43,2025,6,135.55,136.28,139.09,132.71,0.24,11.35,134.51,129.2,115.19,78.86,144.25,144.87,148.21,142.91,6.51,119.91,123.73,128.13,118.93,-9.37
44,2025,7,148.19,147.58,149.95,145.08,0.7,9.98,146.27,141.2,132.51,90.05,158.8,159.99,160.89,156.73,4.96,130.68,131.47,133.6,128.51,-4.14
45,2025,8,168.64,168.78,171.84,164.46,0.01,14.73,168.68,163.98,149.24,103.12,186.97,189.0,190.0,184.41,7.85,154.27,152.3,156.46,142.34,-9.35
46,2025,9,170.04,169.07,172.48,166.04,0.75,1.43,167.9,164.67,161.11,114.57,182.55,183.91,185.75,178.29,5.13,153.11,151.2,157.04,148.04,-1.94
47,2025,10,183.5,183.93,187.19,179.83,0.45,8.18,182.0,179.15,171.44,126.28,200.47,199.2,204.18,197.92,4.86,173.07,175.45,179.22,169.42,-7.47
48,2025,11,189.05,188.84,193.03,183.24,-0.55,4.56,191.83,185.74,177.41,134.84,207.18,205.04,207.52,201.82,8.81,175.05,173.15,178.7,168.91,-7.94
